Variable,Parameter,Estimate,95% CrI,Evidence_of_Difference
hh_size,Intercept,1.099,"[0.565, 2.041]",Strong Evidence
n_buildings,Intercept,1.27,"[0.717, 2.319]",Strong Evidence
n_single_room,Intercept,1.57,"[0.967, 2.619]",Strong Evidence
proximity_bush,Intercept,1.297,"[0.767, 2.268]",Strong Evidence
proximity_farm,Intercept,2.311,"[1.367, 4.006]",Strong Evidence
toilet_use,Intercept,1.025,"[0.522, 1.896]",Strong Evidence
rodents_enter,Intercept,0.478,"[0.036, 1.185]",Weak/No Evidence
removal_animal,Intercept,0.793,"[0.404, 1.491]",Strong Evidence
removal_poison,Intercept,0.747,"[0.367, 1.381]",Strong Evidence
removal_sticks,Intercept,0.582,"[0.275, 1.071]",Strong Evidence
removal_trap,Intercept,0.634,"[0.276, 1.201]",Strong Evidence
use_dispose,Intercept,0.168,"[0.009, 0.536]",Weak/No Evidence
use_eat,Intercept,0.975,"[0.145, 2.386]",Strong Evidence
use_feed,Intercept,0.263,"[0.01, 0.784]",Weak/No Evidence
age,Intercept,0.744,"[0.034, 2.278]",Weak/No Evidence
sex,Intercept,0.096,"[0.005, 0.261]",Weak/No Evidence
education,muPrimary_Intercept,0.453,"[0.221, 0.856]",Strong Evidence
education,muSecondary_Intercept,0.526,"[0.274, 0.981]",Strong Evidence
education,muOther_Intercept,0.169,"[0.008, 0.453]",Weak/No Evidence
months_residence,Intercept,0.255,"[0.072, 0.534]",Weak/No Evidence
pob,Intercept,1.032,"[0.593, 1.898]",Strong Evidence
field_entry,Intercept,0.332,"[0.013, 1.018]",Weak/No Evidence
forest_entry,Intercept,1.081,"[0.611, 1.931]",Strong Evidence
current_rodent_consump,Intercept,2.287,"[1.394, 3.748]",Strong Evidence
past_rodent_consump,Intercept,0.424,"[0.108, 0.945]",Strong Evidence
excreta,Intercept,0.723,"[0.032, 2.403]",Weak/No Evidence
farming,Intercept,0.088,"[0.046, 0.166]",Weak/No Evidence
ag_worker,Intercept,0.055,"[0.03, 0.107]",Weak/No Evidence
taste,Intercept,0.133,"[0.073, 0.24]",Weak/No Evidence
availability,Intercept,0.073,"[0.034, 0.143]",Weak/No Evidence
cheap,Intercept,0.092,"[0.052, 0.167]",Weak/No Evidence
nutrition,Intercept,0.069,"[0.035, 0.137]",Weak/No Evidence
cultural,Intercept,0.091,"[0.054, 0.157]",Weak/No Evidence
